Player,Position,Team,Opp,Salary,Floor,Median,Ceiling,Top_finish,Top_5_finish,Top_10_finish,40+%,3x%,4x%,5x%,Own,LevX,type,league,Timestamp
Kanavi,JNG,TES,WBG,7600,23.335,93.62755637,163.345,18.6,54.56,76.64,99.0,99.92,99.68,99.04,37.75924305,1.694915254,Overall,LCK,2025-05-17
JackeyLove,ADC,TES,WBG,8000,23.0575,92.87941479,161.4025,18.52,53.24,74.8,99.16,99.96,99.72,99.0,35.4797796,1.694915254,Overall,LCK,2025-05-17
Creme,MID,TES,WBG,7600,21.9725,88.71518591,153.8075,12.84,46.8,69.96,98.2,99.88,99.44,98.36,33.52441373,1.694915254,Overall,LCK,2025-05-17
Jiwoo,ADC,NS,DRX,7400,20.62,83.2972722,144.34,8.0,34.2,60.28,98.12,99.88,99.48,98.48,18.71530305,8.474576271,Overall,LCK,2025-05-17
Gideon,JNG,NS,DRX,6800,20.225,81.07513227,141.575,6.0,30.64,55.6,98.24,99.76,99.48,99.08,19.57367097,3.389830508,Overall,LCK,2025-05-17
deokdam,ADC,KT,BRO,7200,19.875,79.77433089,139.125,4.84,27.88,53.84,97.92,99.8,99.64,98.48,17.90128912,6.779661017,Overall,LCK,2025-05-17
Bdd,MID,KT,BRO,7400,19.8475,79.2726374,138.9325,4.8,27.96,53.32,97.44,99.84,99.52,98.08,17.23801971,10.16949153,Overall,LCK,2025-05-17
Cuzz,JNG,KT,BRO,7200,19.795,79.17258745,138.565,4.4,27.84,53.24,97.8,99.72,99.2,98.24,18.75410195,0.0,Overall,LCK,2025-05-17
Fisher,MID,NS,DRX,7000,19.6025,78.58881137,137.2175,3.64,26.24,52.24,97.28,99.84,99.36,98.28,17.38756089,3.389830508,Overall,LCK,2025-05-17
Calix,MID,NS,DRX,7200,19.66,78.0784795,137.62,4.44,25.44,49.12,97.6,99.88,99.52,98.52,17.36037159,3.389830508,Overall,LCK,2025-05-17
Elk,ADC,BLG,JDG,7800,19.5425,77.98436218,136.7975,3.72,25.68,50.56,97.28,99.64,99.2,97.28,16.65219877,5.084745763,Overall,LCK,2025-05-17
