Entry ID,Contest Name,Contest ID,Entry Fee,CPT,TOP,JNG,MID,ADC,SUP,TEAM,,Instructions
4728280981,LCK-LPL $20K Double Buff [$5K to 1st],176884932,$20,Kanavi (38885735),Ale (38885656),Xun (38885680),Creme (38885661),JackeyLove (38885684),Crisp (38885668),JD Gaming (38885696),,1. Column A lists all of your contest entries for this draftgroup
4728283523,LCK-LPL $20K Double Buff [$5K to 1st],176884932,$20,Gideon (38885738),369 (38885652),Kanavi (38885676),Calix (38885663),Jiwoo (38885686),Lehends (38885671),Top Esports (38885692),,2. Your current lineup is listed next to each entry (blank for reservations)
,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,
,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,ADC, JackeyLove (38885743), JackeyLove,38885743,CPT,12000,WBG@TES 05/17/2025 05:00AM ET,TES,71.80
,,,,,,,,,,,,MID, Knight (38885719), Knight,38885719,CPT,11700,JDG@BLG 05/17/2025 06:45AM ET,BLG,78.13
,,,,,,,,,,,,ADC, Elk (38885744), Elk,38885744,CPT,11700,JDG@BLG 05/17/2025 06:45AM ET,BLG,75.48
,,,,,,,,,,,,MID, Creme (38885720), Creme,38885720,CPT,11400,WBG@TES 05/17/2025 05:00AM ET,TES,66.87
,,,,,,,,,,,,JNG, Kanavi (38885735), Kanavi,38885735,CPT,11400,WBG@TES 05/17/2025 05:00AM ET,TES,71.90
,,,,,,,,,,,,ADC, Jiwoo (38885745), Jiwoo,38885745,CPT,11100,DRX@NS 05/17/2025 02:00AM ET,NS,68.02
,,,,,,,,,,,,MID, Bdd (38885721), Bdd,38885721,CPT,11100,KT@BRO 05/17/2025 03:45AM ET,KT,69.71
,,,,,,,,,,,,MID, Calix (38885722), Calix,38885722,CPT,10800,DRX@NS 05/17/2025 02:00AM ET,NS,66.90
,,,,,,,,,,,,JNG, Cuzz (38885736), Cuzz,38885736,CPT,10800,KT@BRO 05/17/2025 03:45AM ET,KT,71.31
,,,,,,,,,,,,ADC, deokdam (38885746), deokdam,38885746,CPT,10800,KT@BRO 05/17/2025 03:45AM ET,KT,73.94
,,,,,,,,,,,,MID, Fisher (38885760), Fisher,38885760,CPT,10500,DRX@NS 05/17/2025 02:00AM ET,NS,63.98
,,,,,,,,,,,,ADC, Paduck (38885767), Paduck,38885767,CPT,10500,KT@BRO 05/17/2025 03:45AM ET,KT,48.61
,,,,,,,,,,,,MID, Scout (38885723), Scout,38885723,CPT,10500,JDG@BLG 05/17/2025 06:45AM ET,JDG,64.82
,,,,,,,,,,,,JNG, Beichuan (38885737), Beichuan,38885737,CPT,10500,JDG@BLG 05/17/2025 06:45AM ET,BLG,52.82
,,,,,,,,,,,,ADC, Peyz (38885747), Peyz,38885747,CPT,10500,JDG@BLG 05/17/2025 06:45AM ET,JDG,72.55
,,,,,,,,,,,,JNG, Gideon (38885738), Gideon,38885738,CPT,10200,DRX@NS 05/17/2025 02:00AM ET,NS,66.25
,,,,,,,,,,,,MID, Clozer (38885724), Clozer,38885724,CPT,10200,KT@BRO 05/17/2025 03:45AM ET,BRO,61.11
,,,,,,,,,,,,ADC, Light (38885748), Light,38885748,CPT,10200,WBG@TES 05/17/2025 05:00AM ET,WBG,64.54
,,,,,,,,,,,,JNG, Wei (38885764), Wei,38885764,CPT,10200,JDG@BLG 05/17/2025 06:45AM ET,BLG,59.08
,,,,,,,,,,,,ADC, Hype (38885749), Hype,38885749,CPT,9900,KT@BRO 05/17/2025 03:45AM ET,BRO,59.02
,,,,,,,,,,,,TOP, 369 (38885711), 369,38885711,CPT,9900,WBG@TES 05/17/2025 05:00AM ET,TES,58.07
,,,,,,,,,,,,MID, Xiaohu (38885725), Xiaohu,38885725,CPT,9900,WBG@TES 05/17/2025 05:00AM ET,WBG,54.27
,,,,,,,,,,,,TOP, Kingen (38885712), Kingen,38885712,CPT,9600,DRX@NS 05/17/2025 02:00AM ET,NS,57.25
,,,,,,,,,,,,MID, Ucal (38885726), Ucal,38885726,CPT,9600,DRX@NS 05/17/2025 02:00AM ET,DRX,53.36
